Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Mail,48.84321995614296,2.322170080500852,Grande Pharmacie du Commerce,48.84453224698781,2.293907530214689,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Hayoun Pharmavance Vouillé Convention,48.835105,2.303659,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie de la Mairie,48.831515,2.3264810000000002,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie De La Bourdonnais,48.856898,2.30108,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Casejuane Vitte,48.839779,2.30154,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Idoine,48.842710279128504,2.323782017217229,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Place Cambronne,48.846393334421165,2.30205657550209,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Buffon,48.84490568999157,2.311573361352558,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie de la Porte de Vanves,48.82763885320795,2.3057510919615183,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie de la Glacière,48.83053767972867,2.3439028988613964,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Bir Hakeim,48.85381698608398,2.289060115814209,Pharmacy
Mail,48.84321995614296,2.322170080500852,Parapharmacie Eiffel Para,48.85472337946103,2.2949972748756413,Pharmacy
Mail,48.84321995614296,2.322170080500852,Aprium Pharmacie Oceane,48.849234505566606,2.2914192080497737,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Rive gauche,48.82652924757036,2.3234805283801885,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie de la Paix,48.83055114746094,2.3088915348052983,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Vaugirard,48.840529,2.304965,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie S. Danan,48.840400066362726,2.3006941123536984,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Blanqui,48.82943913190078,2.3480938800132396,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Blomet Convention,48.8379756051904,2.2930835510554486,Pharmacy
Mail,48.84321995614296,2.322170080500852,Pharmacie Lecrubier,48.84602421993618,2.306763074715667,Pharmacy
Bonne-Nouvelle,48.871060000000064,2.347910036643764,La Pharmacie,48.889251395468776,2.359969528328445,Pharmacy
Bonne-Nouvelle,48.871060000000064,2.347910036643764,Pharmacie Familyprix,48.884159000000004,2.3750720000000003,Pharmacy
Arts-et-Métiers,48.81769380634804,2.334053322447508,Pharmacie de Paris,48.81841,2.3224099999999996,Pharmacy
Arts-et-Métiers,48.81769380634804,2.334053322447508,Pharmacie Kellermann,48.82067064,2.35049503,Pharmacy
